Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/19,00:00,239.25069607,61.1711159432,45240816.8842
14/02/19,00:12,243.00959356,58.9796842363,45239445.5666
14/02/19,00:24,246.371059759,56.7175063121,45238083.3711
14/02/19,00:36,249.403738797,54.399210408,45236736.6321
14/02/19,00:48,252.167595881,52.0332320847,45235401.6763
14/02/19,01:00,254.701992231,49.6347486106,45234072.4232
14/02/19,01:12,257.048658247,47.2080645766,45232756.2642
14/02/19,01:24,259.238887855,44.7591147136,45231451.2576
14/02/19,01:36,261.298603407,42.2927818408,45230154.3277
14/02/19,01:48,263.249399033,39.8131591097,45228872.1735
14/02/19,02:00,265.109438913,37.3237220286,45227590.7984
14/02/19,02:12,266.894109732,34.8274939806,45226318.5141
14/02/19,02:24,268.618794559,32.3238856496,45225053.0184
14/02/19,02:36,270.290508172,29.8216850149,45223793.2257
14/02/19,02:48,271.921479268,27.3198543164,45222544.4916
14/02/19,03:00,273.520561018,24.8203944498,45221294.8837
14/02/19,03:12,275.095679282,22.325202681,45220052.5879
14/02/19,03:24,276.654021203,19.8361078173,45218813.7955
14/02/19,03:36,278.202206772,17.3548897969,45217573.5472
14/02/19,03:48,279.748361555,14.8801647295,45216342.5601
14/02/19,04:00,281.294342629,12.4200731457,45215110.1555
14/02/19,04:12,282.847663634,9.97328522825,45213879.2632
14/02/19,04:24,284.41371491,7.54165803679,45212639.8469
14/02/19,04:36,285.997707955,5.12721286904,45211410.8901
14/02/19,04:48,287.604866916,2.73200175772,45210179.1876
14/02/19,05:00,289.240363722,0.358259821022,45208941.0871
14/02/19,05:12,290.90943057,-1.99166392861,45207697.0665
14/02/19,05:24,292.619563554,-4.31816233139,45206458.0945
14/02/19,05:36,294.371827582,-6.6125688085,45205211.11
14/02/19,05:48,296.173901075,-8.87487063518,45203956.6219
14/02/19,06:00,298.031495551,-11.1018790005,45202696.0028
14/02/19,06:12,299.950416163,-13.2900420595,45201434.7169
14/02/19,06:24,301.93670828,-15.4355858186,45200161.8738
14/02/19,06:36,303.996466253,-17.5343091196,45198886.6785
14/02/19,06:48,306.138740709,-19.5842974356,45197595.7428
14/02/19,07:00,308.364277732,-21.5753082819,45196302.0897
14/02/19,07:12,310.682037624,-23.5046872893,45194997.4611
14/02/19,07:24,313.098030491,-25.3665815419,45193678.2782
14/02/19,07:36,315.618026391,-27.1547640224,45192350.988
14/02/19,07:48,318.24720231,-28.8624858865,45191015.7453
14/02/19,08:00,320.990074268,-30.4826171548,45189667.3172
14/02/19,08:12,323.850010038,-32.0075725139,45188309.335
14/02/19,08:24,326.833007333,-33.431241823,45186936.8321
14/02/19,08:36,329.931769247,-34.7418268076,45185549.3457
14/02/19,08:48,333.148303516,-35.9329771422,45184156.1253
14/02/19,09:00,336.478390398,-36.9964741878,45182738.9002
14/02/19,09:12,339.915190389,-37.9243943563,45181318.7182
14/02/19,09:24,343.44895832,-38.7092728864,45179879.9798
14/02/19,09:36,347.066907549,-39.3443563702,45178426.4336
14/02/19,09:48,350.75833441,-39.8244146959,45176961.0424
14/02/19,10:00,354.495699044,-40.1436563237,45175480.8869
14/02/19,10:12,358.263831922,-40.2996834647,45173981.4671
14/02/19,10:24,2.04151603567,-40.2909454453,45172477.6295
14/02/19,10:36,5.80729697769,-40.1175203824,45170949.1739
14/02/19,10:48,9.54004156051,-39.7811424881,45169412.2581
14/02/19,11:00,13.2200792551,-39.2850797066,45167860.5207
14/02/19,11:12,16.8295633891,-38.6340268657,45166297.043
14/02/19,11:24,20.3577539552,-37.8327222223,45164715.6522
14/02/19,11:36,23.7831896496,-36.8900549987,45163126.1691
14/02/19,11:48,27.1009314942,-35.8126285894,45161516.2392
14/02/19,12:00,30.3044583046,-34.6084071398,45159896.4446
14/02/19,12:12,33.3898178521,-33.2856234825,45158264.8728
14/02/19,12:24,36.3555482199,-31.8524945103,45156620.9283
14/02/19,12:36,39.2021370329,-30.3171549152,45154956.1261
14/02/19,12:48,41.9352824532,-28.6852961481,45153287.2724
14/02/19,13:00,44.5514687083,-26.9686453856,45151606.9258
14/02/19,13:12,47.058887997,-25.1722435475,45149912.2573
14/02/19,13:24,49.4627589224,-23.3028091529,45148211.7118
14/02/19,13:36,51.7688821211,-21.3665242445,45146496.1535
14/02/19,13:48,53.9833498666,-19.3691385214,45144780.3388
14/02/19,14:00,56.1123388058,-17.316003897,45143046.7637
14/02/19,14:12,58.1621409215,-15.211978354,45141308.1983
14/02/19,14:24,60.1414486645,-13.0587808591,45139560.7429
14/02/19,14:36,62.0512832452,-10.86607342,45137807.0102
14/02/19,14:48,63.9002148058,-8.63489801685,45136049.0642
14/02/19,15:00,65.6940501694,-6.36873164816,45134283.6686
14/02/19,15:12,67.4384474102,-4.07076571597,45132509.7945
14/02/19,15:24,69.1389185953,-1.74394136007,45130737.0272
14/02/19,15:36,70.8008453704,0.60903330078,45128958.5957
14/02/19,15:48,72.4315758122,2.98871630224,45127182.6381
14/02/19,16:00,74.0321032138,5.38663461215,45125391.8857
14/02/19,16:12,75.6097156527,7.80364662285,45123612.1621
14/02/19,16:24,77.1695773859,10.2376867642,45121824.8791
14/02/19,16:36,78.7169166564,12.6867937701,45120037.9767
14/02/19,16:48,80.2570796246,15.1490922768,45118263.6383
14/02/19,17:00,81.7955838792,17.6227754116,45116474.6787
14/02/19,17:12,83.3382337627,20.1060597639,45114694.0752
14/02/19,17:24,84.8931761701,22.6003990416,45112918.0909
14/02/19,17:36,86.4630335913,25.0976067095,45111150.0821
14/02/19,17:48,88.0569765402,27.599074086,45109379.182
14/02/19,18:00,89.6829594754,30.1029294636,45107612.8137
14/02/19,18:12,91.3498513596,32.6071801411,45105853.7323
14/02/19,18:24,93.0676850396,35.1096867652,45104104.1977
14/02/19,18:36,94.8479431795,37.6081109872,45102356.5735
14/02/19,18:48,96.7063576105,40.1030217092,45100621.3058
14/02/19,19:00,98.6536854157,42.5850130213,45098892.0437
14/02/19,19:12,100.710609543,45.0538385066,45097173.7519
14/02/19,19:24,102.898995797,47.5054270837,45095460.253
14/02/19,19:36,105.245110023,49.9348808673,45093762.5656
14/02/19,19:48,107.780793564,52.3363013296,45092071.0177
14/02/19,20:00,110.544775148,54.7023410077,45090389.7016
14/02/19,20:12,113.584456436,57.0238720966,45088724.5654
14/02/19,20:24,116.962428032,59.2922102442,45087070.6271
14/02/19,20:36,120.740626433,61.4867095697,45085427.2803
14/02/19,20:48,125.008066141,63.591333524,45083790.6309
14/02/19,21:00,129.863940831,65.5815510136,45082166.9954
14/02/19,21:12,135.418270499,67.425918238,45080560.2748
14/02/19,21:24,141.780693016,69.0847434349,45078971.6105
14/02/19,21:36,149.036781808,70.5096579363,45077390.9526
14/02/19,21:48,157.219117654,71.6465688738,45075823.4295
14/02/19,22:00,166.21266677,72.4356913172,45074271.1802
14/02/19,22:12,175.780860989,72.8305020211,45072732.0774
14/02/19,22:24,185.539766096,72.8036345701,45071203.6297
14/02/19,22:36,195.054086506,72.3570494352,45069689.9859
14/02/19,22:48,203.954020196,71.5213799941,45068193.1637
14/02/19,23:00,212.012910684,70.346597595,45066710.6151
14/02/19,23:12,219.154164606,68.8897972488,45065238.5664
14/02/19,23:24,225.417519855,67.2033668868,45063781.3652
14/02/19,23:36,230.877416149,65.3390319448,45062336.2027
14/02/19,23:48,235.653242058,63.3333278355,45060904.7154
14/02/20,00:00,239.853962647,61.2167700306,45059484.0291
14/02/20,00:12,243.577095232,59.0130951741,45058077.9787
14/02/20,00:24,246.905638031,56.7407130434,45056681.4855
14/02/20,00:36,249.9084983,54.4139541803,45055297.7111
14/02/20,00:48,252.645565926,52.0409781485,45053919.5369
14/02/20,01:00,255.156080709,49.636751813,45052564.6108
14/02/20,01:12,257.481478222,47.2054142669,45051214.9804
14/02/20,01:24,259.652843091,44.7527148726,45049870.666
14/02/20,01:36,261.695815059,42.2834355877,45048537.3924
14/02/20,01:48,263.631771644,39.8015684672,45047212.5977
14/02/20,02:00,265.478653959,37.3105119991,45045899.4706
14/02/20,02:12,267.251696412,34.813204926,45044589.9998
14/02/20,02:24,268.966087783,32.3090278256,45043290.0837
14/02/20,02:36,270.628737977,29.8067218673,45041992.9486
14/02/20,02:48,272.251748049,27.3052015362,45040707.5537
14/02/20,03:00,273.843855845,24.8064556934,45039425.1162
14/02/20,03:12,275.412912168,22.3123458399,45038137.4547
14/02/20,03:24,276.966018811,19.8246835699,45036870.4548
14/02/20,03:36,278.509724745,17.3452445991,45035593.3655
14/02/20,03:48,280.05209092,14.8726435317,45034326.4862
14/02/20,04:00,281.594941363,12.4149932211,45033050.0811
14/02/20,04:12,283.145747006,9.97094672704,45031785.7167
14/02/20,04:24,284.709825481,7.5424085742,45030518.9001
14/02/20,04:36,286.292382143,5.13136868219,45029249.2591
14/02/20,04:48,287.898590169,2.73989777897,45027971.9807
14/02/20,05:00,289.533588883,0.370225651183,45026703.2344
14/02/20,05:12,291.202573094,-1.97527235196,45025430.0488
14/02/20,05:24,292.913024517,-4.29699612804,45024146.7733
14/02/20,05:36,294.665964764,-6.58626393377,45022862.2833
14/02/20,05:48,296.46901844,-8.84304524938,45021574.4661
14/02/20,06:00,298.327880507,-11.0641466624,45020280.9332
14/02/20,06:12,300.248313973,-13.2460034285,45018975.8931
14/02/20,06:24,302.23628555,-15.3848172275,45017671.3878
14/02/20,06:36,304.297842461,-17.4763740492,45016358.4992
14/02/20,06:48,306.441969421,-19.5187449866,45015032.1975
14/02/20,07:00,308.669326207,-21.5017006167,45013697.6924
14/02/20,07:12,310.988764201,-23.4225574683,45012355.2263
14/02/20,07:24,313.406183029,-25.2754716549,45011005.0717
14/02/20,07:36,315.927209563,-27.0541993622,45009641.006
14/02/20,07:48,318.556930895,-28.7520449227,45008263.273
14/02/20,08:00,321.299624464,-30.3618603012,45006879.13
14/02/20,08:12,324.158515862,-31.8761136598,45005483.1325
14/02/20,08:24,327.139385985,-33.2887126848,45004074.2117
14/02/20,08:36,330.2347691,-34.5879627483,45002651.2063
14/02/20,08:48,333.446421092,-35.7675567108,45001218.6105
14/02/20,09:00,336.770062854,-36.8194116824,44999769.9595
14/02/20,09:12,340.198603142,-37.7356726738,44998306.4501
14/02/20,09:24,343.722241344,-38.5090176437,44996832.9654
14/02/20,09:36,347.328147315,-39.1328230999,44995344.7096
14/02/20,09:48,351.005649675,-39.6019834197,44993837.6949
