    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:49:03
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GSE X        YES      -           -               -               -   
GSE Y        YES      -           -               -               -   
GSE Z        YES      -           -               -               -   
GSE Lat      YES      -           -               -               -   
GSE Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GSE (km)                        GSE         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     

14/02/19 00:00    12787941.000    43401556.000      101369.297   0.1  73.6   45246396.000
14/02/19 00:12    12788282.000    43399892.000      101384.094   0.1  73.6   45244904.000
14/02/19 00:24    12788608.000    43398248.000      101402.000   0.1  73.6   45243408.000
14/02/19 00:36    12788948.000    43396584.000      101417.570   0.1  73.6   45241916.000
14/02/19 00:48    12792261.000    43394052.000      101433.922   0.1  73.6   45240424.000
14/02/19 01:00    12792563.000    43392400.000      101449.492   0.1  73.6   45238928.000
14/02/19 01:12    12792887.000    43390752.000      101466.625   0.1  73.6   45237428.000
14/02/19 01:24    12793228.000    43389092.000      101481.414   0.1  73.6   45235940.000
14/02/19 01:36    12793574.000    43387432.000      101496.984   0.1  73.6   45234448.000
14/02/19 01:48    12793898.000    43385776.000      101514.891   0.1  73.6   45232948.000
14/02/19 02:00    12794239.000    43384112.000      101530.469   0.1  73.6   45231452.000
14/02/19 02:12    12794542.000    43382468.000      101546.039   0.1  73.6   45229956.000
14/02/19 02:24    12797855.000    43379928.000      101562.391   0.1  73.6   45228460.000
14/02/19 02:36    12798180.000    43378272.000      101578.734   0.1  73.6   45226964.000
14/02/19 02:48    12798522.000    43376616.000      101593.531   0.1  73.6   45225468.000
14/02/19 03:00    12798824.000    43374960.000      101609.883   0.1  73.6   45223968.000
14/02/19 03:12    12799190.000    43373288.000      101627.789   0.1  73.6   45222472.000
14/02/19 03:24    12799513.000    43371636.000      101642.578   0.1  73.6   45220972.000
14/02/19 03:36    12799814.000    43369980.000      101658.930   0.1  73.6   45219472.000
14/02/19 03:48    12803127.000    43367444.000      101675.281   0.1  73.6   45217976.000
14/02/19 04:00    12803449.000    43365784.000      101692.414   0.1  73.6   45216480.000
14/02/19 04:12    12803795.000    43364120.000      101707.984   0.1  73.6   45214980.000
14/02/19 04:24    12804138.000    43362452.000      101725.891   0.1  73.5   45213476.000
14/02/19 04:36    12804439.000    43360804.000      101739.906   0.1  73.5   45211984.000
14/02/19 04:48    12804783.000    43359140.000      101755.477   0.1  73.5   45210480.000
14/02/19 05:00    12805122.000    43357472.000      101771.047   0.1  73.5   45208980.000
14/02/19 05:12    12805427.000    43355816.000      101788.180   0.1  73.5   45207480.000
14/02/19 05:24    12808716.000    43353276.000      101803.750   0.1  73.5   45205980.000
14/02/19 05:36    12809061.000    43351616.000      101818.539   0.1  73.5   45204476.000
14/02/19 05:48    12809365.000    43349952.000      101836.453   0.1  73.5   45202972.000
14/02/19 06:00    12809729.000    43348280.000      101853.578   0.1  73.5   45201472.000
14/02/19 06:12    12810052.000    43346620.000      101867.594   0.1  73.5   45199972.000
14/02/19 06:24    12810349.000    43344964.000      101884.719   0.1  73.5   45198468.000
14/02/19 06:36    12810699.000    43343300.000      101902.633   0.1  73.5   45196964.000
14/02/19 06:48    12813988.000    43340756.000      101917.422   0.1  73.5   45195460.000
14/02/19 07:00    12814313.000    43339092.000      101932.219   0.1  73.5   45193960.000
14/02/19 07:12    12814655.000    43337424.000      101947.789   0.1  73.5   45192456.000
14/02/19 07:24    12814979.000    43335760.000      101966.477   0.1  73.5   45190952.000
14/02/19 07:36    12815279.000    43334096.000      101982.047   0.1  73.5   45189448.000
14/02/19 07:48    12815627.000    43332432.000      101997.617   0.1  73.5   45187944.000
14/02/19 08:00    12815928.000    43330772.000      102013.969   0.1  73.5   45186436.000
14/02/19 08:12    12816267.000    43329100.000      102029.539   0.1  73.5   45184932.000
14/02/19 08:24    12819564.000    43326556.000      102045.891   0.1  73.5   45183432.000
14/02/19 08:36    12819905.000    43324880.000      102060.680   0.1  73.5   45181920.000
14/02/19 08:48    12820249.000    43323216.000      102076.250   0.1  73.5   45180416.000
14/02/19 09:00    12820549.000    43321552.000      102094.164   0.1  73.5   45178908.000
14/02/19 09:12    12820855.000    43319896.000      102108.172   0.1  73.5   45177404.000
14/02/19 09:24    12821199.000    43318216.000      102126.086   0.1  73.5   45175892.000
14/02/19 09:36    12821540.000    43316548.000      102142.430   0.1  73.5   45174388.000
14/02/19 09:48    12824831.000    43314000.000      102157.227   0.1  73.5   45172884.000
14/02/19 10:00    12825134.000    43312336.000      102173.578   0.1  73.5   45171372.000
14/02/19 10:12    12825436.000    43310672.000      102189.930   0.1  73.5   45169864.000
14/02/19 10:24    12825781.000    43309000.000      102206.273   0.1  73.5   45168352.000
14/02/19 10:36    12826126.000    43307320.000      102222.625   0.1  73.5   45166848.000
14/02/19 10:48    12826424.000    43305664.000      102237.422   0.1  73.5   45165344.000
14/02/19 11:00    12826749.000    43303988.000      102254.547   0.1  73.5   45163824.000
14/02/19 11:12    12827089.000    43302312.000      102268.562   0.1  73.5   45162320.000
14/02/19 11:24    12830363.000    43299768.000      102287.250   0.1  73.5   45160808.000
14/02/19 11:36    12830700.000    43298092.000      102302.039   0.1  73.5   45159300.000
14/02/19 11:48    12831025.000    43296420.000      102318.391   0.1  73.5   45157788.000
14/02/19 12:00    12831351.000    43294752.000      102333.961   0.1  73.5   45156276.000
14/02/19 12:12    12831673.000    43293080.000      102349.539   0.1  73.5   45154768.000
14/02/19 12:24    12831997.000    43291404.000      102367.445   0.1  73.5   45153252.000
14/02/19 12:36    12832300.000    43289736.000      102383.797   0.1  73.5   45151740.000
14/02/19 12:48    12835609.000    43287176.000      102397.805   0.1  73.5   45150228.000
14/02/19 13:00    12835932.000    43285508.000      102414.156   0.1  73.5   45148716.000
14/02/19 13:12    12836277.000    43283820.000      102431.289   0.1  73.5   45147204.000
14/02/19 13:24    12836578.000    43282156.000      102445.305   0.1  73.5   45145692.000
14/02/19 13:36    12836879.000    43280488.000      102461.656   0.1  73.5   45144176.000
14/02/19 13:48    12837206.000    43278820.000      102478.781   0.1  73.5   45142668.000
14/02/19 14:00    12837568.000    43277128.000      102493.578   0.1  73.5   45141152.000
14/02/19 14:12    12837875.000    43275460.000      102509.922   0.1  73.5   45139632.000
14/02/19 14:24    12841140.000    43272908.000      102526.273   0.1  73.5   45138120.000
14/02/19 14:36    12841464.000    43271236.000      102542.625   0.1  73.5   45136604.000
14/02/19 14:48    12841787.000    43269556.000      102558.977   0.1  73.5   45135092.000
14/02/19 15:00    12842112.000    43267876.000      102574.547   0.1  73.5   45133572.000
14/02/19 15:12    12842455.000    43266200.000      102590.117   0.1  73.5   45132060.000
14/02/19 15:24    12842756.000    43264528.000      102606.469   0.1  73.5   45130544.000
14/02/19 15:36    12843059.000    43262852.000      102621.266   0.1  73.5   45129028.000
14/02/19 15:48    12846389.000    43260284.000      102636.836   0.1  73.5   45127516.000
14/02/19 16:00    12846691.000    43258608.000      102653.188   0.1  73.5   45125992.000
14/02/19 16:12    12846993.000    43256936.000      102671.094   0.1  73.5   45124476.000
14/02/19 16:24    12847319.000    43255260.000      102686.664   0.1  73.5   45122960.000
14/02/19 16:36    12847639.000    43253580.000      102701.453   0.1  73.5   45121440.000
14/02/19 16:48    12847945.000    43251908.000      102716.250   0.1  73.5   45119928.000
14/02/19 17:00    12848287.000    43250220.000      102734.156   0.1  73.5   45118404.000
14/02/19 17:12    12848591.000    43248548.000      102749.727   0.1  73.5   45116888.000
14/02/19 17:24    12851876.000    43245984.000      102767.633   0.1  73.4   45115368.000
14/02/19 17:36    12852201.000    43244300.000      102780.875   0.1  73.4   45113848.000
14/02/19 17:48    12852522.000    43242620.000      102796.445   0.1  73.4   45112332.000
14/02/19 18:00    12852869.000    43240936.000      102814.352   0.1  73.4   45110812.000
14/02/19 18:12    12853167.000    43239256.000      102829.922   0.1  73.4   45109288.000
14/02/19 18:24    12853469.000    43237580.000      102845.492   0.1  73.4   45107764.000
14/02/19 18:36    12853817.000    43235892.000      102861.844   0.1  73.4   45106248.000
14/02/19 18:48    12857103.000    43233328.000      102877.414   0.1  73.4   45104724.000
14/02/19 19:00    12857407.000    43231652.000      102893.766   0.1  73.4   45103204.000
14/02/19 19:12    12857752.000    43229956.000      102910.117   0.1  73.4   45101684.000
14/02/19 19:24    12858033.000    43228288.000      102927.242   0.1  73.4   45100156.000
14/02/19 19:36    12858357.000    43226604.000      102939.703   0.1  73.4   45098636.000
14/02/19 19:48    12858701.000    43224908.000      102956.828   0.1  73.4   45097112.000
14/02/19 20:00    12859004.000    43223236.000      102972.406   0.1  73.4   45095592.000
14/02/19 20:12    12859302.000    43221556.000      102988.750   0.1  73.4   45094068.000
14/02/19 20:24    12862591.000    43218984.000      103002.766   0.1  73.4   45092544.000
14/02/19 20:36    12862915.000    43217300.000      103019.117   0.1  73.4   45091024.000
14/02/19 20:48    12863238.000    43215612.000      103037.805   0.1  73.4   45089496.000
14/02/19 21:00    12863561.000    43213928.000      103053.375   0.1  73.4   45087968.000
14/02/19 21:12    12863842.000    43212248.000      103068.172   0.1  73.4   45086448.000
14/02/19 21:24    12864146.000    43210568.000      103083.742   0.1  73.4   45084924.000
14/02/19 21:36    12864507.000    43208868.000      103100.094   0.1  73.4   45083396.000
14/02/19 21:48    12867779.000    43206304.000      103117.219   0.1  73.4   45081868.000
14/02/19 22:00    12868083.000    43204620.000      103132.016   0.1  73.4   45080344.000
14/02/19 22:12    12868387.000    43202944.000      103149.141   0.1  73.4   45078820.000
14/02/19 22:24    12868729.000    43201244.000      103163.156   0.1  73.4   45077292.000
14/02/19 22:36    12869073.000    43199548.000      103179.508   0.1  73.4   45075760.000
14/02/19 22:48    12869352.000    43197872.000      103197.414   0.1  73.4   45074236.000
14/02/19 23:00    12869660.000    43196188.000      103212.211   0.1  73.4   45072712.000
14/02/19 23:12    12869976.000    43194496.000      103227.000   0.1  73.4   45071180.000
14/02/19 23:24    12873265.000    43191924.000      103243.352   0.1  73.4   45069656.000
14/02/19 23:36    12873565.000    43190236.000      103258.141   0.1  73.4   45068124.000
14/02/19 23:48    12873911.000    43188540.000      103276.055   0.1  73.4   45066596.000
14/02/20 00:00    12874210.000    43186852.000      103290.844   0.1  73.4   45065068.000
14/02/20 00:12    12874538.000    43185168.000      103307.977   0.1  73.4   45063540.000
14/02/20 00:24    12874859.000    43183468.000      103321.984   0.1  73.4   45062012.000
14/02/20 00:36    12875162.000    43181784.000      103339.117   0.1  73.4   45060484.000
14/02/20 00:48    12878409.000    43179216.000      103355.469   0.1  73.4   45058948.000
14/02/20 01:00    12878774.000    43177516.000      103369.484   0.1  73.4   45057420.000
14/02/20 01:12    12879075.000    43175824.000      103384.273   0.1  73.4   45055888.000
14/02/20 01:24    12879357.000    43174144.000      103401.406   0.1  73.4   45054356.000
14/02/20 01:36    12879703.000    43172440.000      103418.531   0.1  73.4   45052824.000
14/02/20 01:48    12880006.000    43170752.000      103434.883   0.1  73.4   45051296.000
14/02/20 02:00    12880306.000    43169064.000      103448.898   0.1  73.4   45049756.000
