    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:53:41
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GEO X        YES      -           -               -               -   
GEO Y        YES      -           -               -               -   
GEO Z        YES      -           -               -               -   
GEO Lat      YES      -           -               -               -   
GEO Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GEO (km)                        GEO         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     

14/02/19 00:00   -13089372.000   -41451332.000    12557547.000  16.1 252.5   45246396.000
14/02/19 00:12   -15240781.000   -40707480.000    12558708.000  16.1 249.5   45244904.000
14/02/19 00:24   -17350206.000   -39852052.000    12559873.000  16.1 246.5   45243408.000
14/02/19 00:36   -19411868.000   -38887412.000    12561036.000  16.1 243.5   45241916.000
14/02/19 00:48   -21422656.000   -37814772.000    12562199.000  16.1 240.5   45240424.000
14/02/19 01:00   -23371908.000   -36639820.000    12563360.000  16.1 237.5   45238928.000
14/02/19 01:12   -25256894.000   -35364492.000    12564523.000  16.1 234.5   45237428.000
14/02/19 01:24   -27072448.000   -33992296.000    12565684.000  16.1 231.5   45235940.000
14/02/19 01:36   -28813602.000   -32526996.000    12566845.000  16.1 228.5   45234448.000
14/02/19 01:48   -30475590.000   -30972626.000    12568006.000  16.1 225.5   45232948.000
14/02/19 02:00   -32053854.000   -29333444.000    12569166.000  16.1 222.5   45231452.000
14/02/19 02:12   -33544068.000   -27613972.000    12570326.000  16.1 219.5   45229956.000
14/02/19 02:24   -34943900.000   -25816568.000    12571486.000  16.1 216.5   45228460.000
14/02/19 02:36   -36245928.000   -23950770.000    12572645.000  16.1 213.5   45226964.000
14/02/19 02:48   -37448444.000   -22019458.000    12573804.000  16.1 210.5   45225468.000
14/02/19 03:00   -38548152.000   -20027924.000    12574962.000  16.1 207.5   45223968.000
14/02/19 03:12   -39542052.000   -17981640.000    12576121.000  16.1 204.5   45222472.000
14/02/19 03:24   -40427424.000   -15886225.000    12577278.000  16.1 201.5   45220972.000
14/02/19 03:36   -41201848.000   -13747420.000    12578435.000  16.2 198.5   45219472.000
14/02/19 03:48   -41863996.000   -11568290.000    12579592.000  16.2 195.4   45217976.000
14/02/19 04:00   -42410352.000    -9360392.000    12580749.000  16.2 192.4   45216480.000
14/02/19 04:12   -42840352.000    -7127031.500    12581906.000  16.2 189.4   45214980.000
14/02/19 04:24   -43152824.000    -4874298.500    12583062.000  16.2 186.4   45213476.000
14/02/19 04:36   -43346936.000    -2608418.250    12584216.000  16.2 183.4   45211984.000
14/02/19 04:48   -43422156.000     -335568.125    12585371.000  16.2 180.4   45210480.000
14/02/19 05:00   -43378284.000     1937998.250    12586526.000  16.2 177.4   45208980.000
14/02/19 05:12   -43215452.000     4206060.000    12587679.000  16.2 174.4   45207480.000
14/02/19 05:24   -42933696.000     6465255.500    12588834.000  16.2 171.4   45205980.000
14/02/19 05:36   -42534500.000     8703642.000    12589986.000  16.2 168.4   45204476.000
14/02/19 05:48   -42018692.000    10917948.000    12591140.000  16.2 165.4   45202972.000
14/02/19 06:00   -41387692.000    13102136.000    12592293.000  16.2 162.4   45201472.000
14/02/19 06:12   -40643260.000    15250177.000    12593445.000  16.2 159.4   45199972.000
14/02/19 06:24   -39787420.000    17356230.000    12594597.000  16.2 156.4   45198468.000
